Profile 1;Profile 1;Profile 2;Profile 2;Profile 3;Profile 3;Profile 4;Profile 4;Profile 5;Profile 5;Profile 6;Profile 6;Profile 7;Profile 7;Profile 8;Profile 8;Profile 9;Profile 9;Profile 10;Profile 10;Profile 11;Profile 11;
x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;
[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];
0;3.5836295e-07;0;3.8652435e-07;0;3.6541003e-07;0;3.7985093e-07;0;3.8996326e-07;0;3.7082616e-07;0;3.7387359e-07;0;3.8901764e-07;0;3.9240731e-07;0;4.0332117e-07;0;4.1071717e-07;
6.5857736e-09;3.61523e-07;6.5886047e-09;3.8580759e-07;6.5828929e-09;3.7205631e-07;6.5737671e-09;3.8582469e-07;6.5722915e-09;3.9373967e-07;6.5740283e-09;3.7540438e-07;6.572425e-09;3.7493487e-07;6.5817857e-09;3.9330741e-07;6.5741656e-09;3.9278265e-07;6.577286e-09;4.0360882e-07;6.5867972e-09;4.1072033e-07;
1.3171547e-08;3.6278866e-07;1.3177209e-08;3.8498417e-07;1.3165786e-08;3.7830513e-07;1.3147534e-08;3.9071381e-07;1.3144583e-08;3.9616744e-07;1.3148057e-08;3.806147e-07;1.314485e-08;3.7584099e-07;1.3163571e-08;3.9754965e-07;1.3148331e-08;3.9355718e-07;1.3154572e-08;4.0425668e-07;1.3173594e-08;4.1050012e-07;
1.9757321e-08;3.6326579e-07;1.9765814e-08;3.8425908e-07;1.9748679e-08;3.8397273e-07;1.9721301e-08;3.9438547e-07;1.9716875e-08;3.9642866e-07;1.9722085e-08;3.8611669e-07;1.9717275e-08;3.7685737e-07;1.9745357e-08;4.0080736e-07;1.9722497e-08;3.946951e-07;1.9731858e-08;4.0528598e-07;1.9760392e-08;4.1076758e-07;
2.6343094e-08;3.6418682e-07;2.6354419e-08;3.8388292e-07;2.6331572e-08;3.8773466e-07;2.6295068e-08;3.970671e-07;2.6289166e-08;3.9625134e-07;2.6296113e-08;3.911888e-07;2.62897e-08;3.7753141e-07;2.6327143e-08;4.0247236e-07;2.6296662e-08;3.9622783e-07;2.6309144e-08;4.0722776e-07;2.6347189e-08;4.1160398e-07;
3.2928868e-08;3.6478423e-07;3.2943023e-08;3.8409434e-07;3.2914465e-08;3.9015027e-07;3.2868835e-08;3.9939017e-07;3.2861458e-08;3.9585556e-07;3.2870142e-08;3.9579699e-07;3.2862125e-08;3.7833335e-07;3.2908929e-08;4.0321818e-07;3.2870828e-08;3.9844693e-07;3.288643e-08;4.0949484e-07;3.2933986e-08;4.1318385e-07;
3.9514642e-08;3.6475703e-07;3.9531628e-08;3.842538e-07;3.9497358e-08;3.9026978e-07;3.9442602e-08;4.0183535e-07;3.9433749e-08;3.9585783e-07;3.944417e-08;3.9976923e-07;3.943455e-08;3.793287e-07;3.9490714e-08;4.0212103e-07;3.9444993e-08;4.0115338e-07;3.9463716e-08;4.1116513e-07;3.9520783e-08;4.1349437e-07;
4.6100415e-08;3.6401203e-07;4.6120233e-08;3.839939e-07;4.608025e-08;3.8891399e-07;4.6016369e-08;4.0427025e-07;4.6006041e-08;3.9632968e-07;4.6018198e-08;4.0349974e-07;4.6006975e-08;3.8062272e-07;4.60725e-08;4.0240651e-07;4.6019159e-08;4.0361376e-07;4.6041002e-08;4.1232752e-07;4.610758e-08;4.1103919e-07;
5.2686189e-08;3.6395933e-07;5.2708838e-08;3.8377049e-07;5.2663143e-08;3.8646635e-07;5.2590136e-08;4.061666e-07;5.2578332e-08;3.9761435e-07;5.2592227e-08;4.0653885e-07;5.25794e-08;3.823311e-07;5.2654286e-08;4.0371291e-07;5.2593324e-08;4.0612363e-07;5.2618288e-08;4.1276851e-07;5.2694378e-08;4.0639653e-07;
