Profile 1;Profile 1;Profile 2;Profile 2;Profile 3;Profile 3;Profile 4;Profile 4;Profile 5;Profile 5;Profile 6;Profile 6;Profile 7;Profile 7;Profile 8;Profile 8;Profile 9;Profile 9;Profile 10;Profile 10;Profile 11;Profile 11;Profile 12;Profile 12;Profile 13;Profile 13;Profile 14;Profile 14;Profile 15;Profile 15;Profile 16;Profile 16;
x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;
[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];
0;9.461902e-08;0;1.0080497e-07;0;9.0846859e-08;0;1.1797512e-07;0;1.2442044e-07;0;1.2128432e-07;0;1.1201615e-07;0;7.5452138e-08;0;4.1976841e-08;0;3.5841738e-08;0;8.0140835e-08;0;7.8652761e-08;0;9.083988e-08;0;1.0844885e-07;0;1.5067035e-07;0;1.1502473e-07;
2.9132979e-09;9.9494261e-08;2.9127745e-09;1.0072925e-07;2.9075371e-09;8.2120176e-08;2.9122947e-09;1.1635086e-07;2.9100787e-09;1.2507946e-07;2.9080293e-09;1.2196465e-07;2.9118374e-09;1.0830121e-07;2.9100157e-09;7.5415235e-08;2.9079908e-09;4.0458497e-08;2.90803e-09;3.765043e-08;2.9100491e-09;7.2493252e-08;2.9080112e-09;7.3077802e-08;2.91216e-09;9.3600144e-08;2.9119585e-09;1.0589543e-07;2.9120406e-09;1.5138303e-07;2.9082447e-09;1.1668175e-07;
5.8265957e-09;1.0648838e-07;5.825549e-09;9.9898472e-08;5.8150741e-09;7.8413363e-08;5.8245893e-09;1.1182439e-07;5.8201575e-09;1.2387443e-07;5.8160586e-09;1.226582e-07;5.8236747e-09;1.0497089e-07;5.8200314e-09;7.6194816e-08;5.8159816e-09;4.0812125e-08;5.8160599e-09;3.9735891e-08;5.8200983e-09;6.6831139e-08;5.8160224e-09;6.8212481e-08;5.82432e-09;9.8073698e-08;5.8239171e-09;1.0449214e-07;5.8240812e-09;1.5169499e-07;5.8164894e-09;1.173457e-07;
8.7398936e-09;1.1128503e-07;8.7383235e-09;9.8025226e-08;8.7226112e-09;8.2998576e-08;8.736884e-09;1.0463987e-07;8.7302362e-09;1.2090762e-07;8.7240879e-09;1.2243191e-07;8.7355121e-09;1.0341572e-07;8.7300471e-09;7.6675379e-08;8.7239724e-09;4.1362929e-08;8.7240899e-09;4.2540006e-08;8.7301474e-09;6.4228105e-08;8.7240335e-09;6.4763908e-08;8.73648e-09;1.0323848e-07;8.7358756e-09;1.0519637e-07;8.7361218e-09;1.518285e-07;8.7247341e-09;1.1761633e-07;
1.1653191e-08;1.1067826e-07;1.1651098e-08;9.6025645e-08;1.1630148e-08;8.7396362e-08;1.1649179e-08;9.6363749e-08;1.1640315e-08;1.1759375e-07;1.1632117e-08;1.2096565e-07;1.1647349e-08;1.0420965e-07;1.1640063e-08;7.6930308e-08;1.1631963e-08;4.0613445e-08;1.163212e-08;4.5401551e-08;1.1640197e-08;6.3685311e-08;1.1632045e-08;6.1281567e-08;1.164864e-08;1.0761405e-07;1.1647834e-08;1.0800542e-07;1.1648162e-08;1.5198096e-07;1.1632979e-08;1.1789759e-07;
1.4566489e-08;1.0461553e-07;1.4563872e-08;9.5334518e-08;1.4537685e-08;1.0032537e-07;1.4561473e-08;8.9106217e-08;1.4550394e-08;1.1563488e-07;1.4540147e-08;1.1869246e-07;1.4559187e-08;1.0661254e-07;1.4550078e-08;8.0977716e-08;1.4539954e-08;3.8568246e-08;1.454015e-08;4.6933408e-08;1.4550246e-08;6.3421823e-08;1.4540056e-08;6.2821359e-08;1.45608e-08;1.1037004e-07;1.4559793e-08;1.115146e-07;1.4560203e-08;1.5194735e-07;1.4541224e-08;1.1810782e-07;
1.7479787e-08;9.5672411e-08;1.7476647e-08;9.6633309e-08;1.7445222e-08;1.1379585e-07;1.7473768e-08;8.410962e-08;1.7460472e-08;1.155626e-07;1.7448176e-08;1.1633508e-07;1.7471024e-08;1.0913966e-07;1.7460094e-08;8.4205306e-08;1.7447945e-08;3.6904409e-08;1.744818e-08;4.6243337e-08;1.7460295e-08;6.2575739e-08;1.7448067e-08;6.9775571e-08;1.747296e-08;1.116155e-07;1.7471751e-08;1.1382544e-07;1.7472244e-08;1.5120699e-07;1.7449468e-08;1.1788531e-07;
2.0393085e-08;8.6824607e-08;2.0389421e-08;9.9067784e-08;2.0352759e-08;1.2391309e-07;2.0386063e-08;8.1079056e-08;2.0370551e-08;1.1637156e-07;2.0356205e-08;1.1447623e-07;2.0382862e-08;1.1069616e-07;2.037011e-08;8.5280679e-08;2.0355936e-08;3.6151496e-08;2.035621e-08;4.3652532e-08;2.0370344e-08;6.1516154e-08;2.0356078e-08;8.1261851e-08;2.038512e-08;1.1194517e-07;2.038371e-08;1.1390663e-07;2.0384284e-08;1.4942252e-07;2.0357713e-08;1.1708016e-07;
